,index,id,usuario,tweet,ubicacion,nombre_de_pila,codigo_pais,hora_pais,fecha,hora,mes,año,dia,dia_semana,periodo,Latitud,Longitud,sentimiento
0,0,1751724377383550976,laprensa,"Doce miembros de la agencia para los refugiados palestinos (UNRWA) fueron acusados de participar en los ataques del 7 de octubre contra Israel que desataron la guerra en la Franja de Gaza.

https://t.co/CUbUvXSaxF",Nicaragua,LA PRENSA Nicaragua,NI,2024-01-28 15:50:11,2024-01-28,1900-01-01 21:50:11,enero,2024,28,domingo,Noche,13.0,-85.0,Neutral
1,8,1751723773194027008,AgenciaAJN,El gran rabino de Rusia se expresó en público contra la política de Putin por la guerra con Hamás -       https://t.co/9GNI0YY5Fn,Argentina,Agencia AJN,AR,2024-01-28 18:47:47,2024-01-28,1900-01-01 21:47:47,enero,2024,28,domingo,Noche,-34.0,-64.0,Neutral
2,101,1751721984226959872,helenezonana,"Que liberen a los rehenes YA! Basta de tanta babosada. Ya estamos hartos de estos payasos! Esto no es Alemania del 1933. Que no nos vamos a ningún lado y aquí nos quedamos y a los árabes lo lamento mucho pero que se queden en Gaza y se abastezcan solos! Ellos
buscaron esta guerra y esto es lo que van a recibir.",sin ubicación,Helene Zonana,sin ubicación,2024-01-28 22:40:41,2024-01-28,1900-01-01 21:40:41,enero,2024,28,domingo,Noche,,,Negativo
3,102,1751719317958172928,LawAndTrends,"La CIJ exige a Israel impedir un genocidio con su guerra en Gaza, pero no un alto el fuego https://t.co/uLCKljKF1F via",sin ubicación,LawAndTrends💙💛,sin ubicación,2024-01-28 22:30:05,2024-01-28,1900-01-01 21:30:05,enero,2024,28,domingo,Noche,,,Negativo
4,103,1751718215938458112,Alexand22956267,"¿Quieres discutir el alto el fuego sin la participación del estado palestino?Esta es la mayor prueba de que no es una guerra sino una masacre genocida.Solo un lado está atacando.

Estados Unidos, Egipto, Israel y Qatar discuten el alto el fuego en Gaza https://t.co/mmurdfzpdc",sin ubicación,Alexandre Moreira,sin ubicación,2024-01-28 22:25:42,2024-01-28,1900-01-01 21:25:42,enero,2024,28,domingo,Noche,,,Negativo
5,104,1751716330951107072,FranSevillaRne,Desde el comienzo de la guerra contra Gaza Israel ha intentado permanentemente criminalizar y dejar sin efectividad a la UNRWA en su proyecto de hacer inviable la Franja para la población palestina...,Guatemala,Fran Sevilla,GT,2024-01-28 15:18:13,2024-01-28,1900-01-01 21:18:13,enero,2024,28,domingo,Noche,15.5,-90.25,Negativo
6,109,1751480836682400000,MiddleEastEye,"""Será imposible ganar la guerra si no destruimos UNRWA, y esta destrucción debe comenzar de inmediato""

A principios de este mes, el 4 de enero, Noga Arbell, un ex funcionario israelí, pidió la destrucción de UNRWA durante una discusión en el parlamento israelí.https://t.co/voovg39fvl",sin ubicación,Middle East Eye,sin ubicación,2024-01-28 06:42:27,2024-01-28,1900-01-01 05:42:27,enero,2024,28,domingo,Mañana,,,Negativo
7,110,1751713839568057088,will_pulido,"3/ y la propia Irán no se involucrarían en la guerra de Gaza porque hasta ahora no se habían implicado demasiado en una guerra contra Israel de Palestina, van a tener que desecharla y contemplar la posibilidad de una guerra regional como algo real y no un farol.

En realidad",España,Guillermo Pulido,ES,2024-01-28 22:08:19,2024-01-28,1900-01-01 21:08:19,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
8,335,1751712455418434048,emdefcomunismo,"Escritura |El tribunal de La Haya ha determinado que Israel toma medidas para evitar actos de genocidio en la guerra en Gaza.La decisión establece: “El Estado de Israel (...) tomará todas las medidas dentro de su alcance para evitar todos los actos bajo el Artículo 2 de la Convención para prevenir

+ https://t.co/rhfy3dbtns",Brasil,EDC - Em Defesa do Comunismo,BR,2024-01-28 19:02:49,2024-01-28,1900-01-01 21:02:49,enero,2024,28,domingo,Noche,-10.0,-55.0,Positivo
9,530,1751712384941462016,KlingonCome,"Con Rusia no había que meterse porque los ucranianos eran unos nazis y Europa, USA y la OTAN tenían la culpa de la invasión. En cambio, había que entrar en guerra con Israel para defender a Gaza, que no estaba gobernada ni por islamistas ni por terroristas.",España,ɛʟ ʝɛɨȶɛʀ ɖɛ ȶաɨȶȶɛʀ✌,ES,2024-01-28 22:02:32,2024-01-28,1900-01-01 21:02:32,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
10,755,1751571446776664064,NoaGresiva,Esto era Gaza antes. Hiela la sangre lo que Europa y el mundo le ha permitido hacer a Israel.https://t.co/sJdb8YtlDH,sin ubicación,Noa Gresiva,sin ubicación,2024-01-28 12:42:30,2024-01-28,1900-01-01 11:42:30,enero,2024,28,domingo,Mañana,,,Positivo
11,756,1751712269547740928,hanamor_,"La actriz que hace Clarice, está publicando algo que apoya a Israel y Tales, había dicho que se iba a educarse y se disculpó (incluso publicó una ""detener la guerra en Gaza""), pero nuevamente publicando cosas en Israel",sin ubicación,hana 🍉 | #qsmp,sin ubicación,2024-01-28 22:02:04,2024-01-28,1900-01-01 21:02:04,enero,2024,28,domingo,Noche,,,Neutral
12,757,1751711890550424064,Tati_GFreer,The Guardian: fallo de CIJ puede implicar a EEUU en crímenes de Israel: El fallo de la Corte Internacional de Justicia (CIJ) contra Israel puede implicar a Estados Unidos en crímenes de guerra contra los palestinos en Gaza. https://t.co/aHprCfGbxt,sin ubicación,Tatiana Gamboa Freer (تاتيـــانا),sin ubicación,2024-01-28 22:00:34,2024-01-28,1900-01-01 21:00:34,enero,2024,28,domingo,Noche,,,Neutral
13,758,1751710786735546880,PetraWilsson1,"Israel tiene evidencias de unos 12 empleados de UNRWA participaron en el pogromo del 7/10 junto a Hamás
Varios de ellos *asesinaron y secuestraron israelíes. Hay que desmantelar la UNRWA y utilizar sus fondos para la reconstrucción de la Franja de Gaza cuando finalice la guerra.",sin ubicación,@PetraWilsson🇪🇺🇮🇱🇺🇦🇧🇻🇫🇮🇸🇪🇩🇰🇪🇦🇺🇲,sin ubicación,2024-01-28 21:56:11,2024-01-28,1900-01-01 20:56:11,enero,2024,28,domingo,Noche,,,Neutral
